mcc_start,mcc_end,subcategory,description
1,1499,Agricultural Services,"Farming, veterinary services, horticulture, agricultural cooperatives"
1500,1799,Contracted Services,"Construction contractors, electrical work, plumbing, masonry, roofing"
1800,2999,Contracted Services / Manufacturing Support,"Printing, cleaning services, equipment maintenance"
3000,3299,Airlines,Individual airline merchant codes
3300,3499,Car Rental,Specific rental car companies
3500,3799,Lodging,"Hotels, resorts, casinos with lodging"
3800,3999,Lodging / Travel Services,Extended lodging brands and hospitality
4000,4799,Transportation,"Railways, buses, freight, shipping, airlines (generic), taxis, travel agencies"
4800,4999,Utilities & Telecom,"Telecommunications, cable TV, internet services, utilities"
5000,5599,Wholesale,"Durable goods wholesalers, industrial equipment"
5600,5699,Apparel,"Clothing stores, shoe stores, specialty apparel"
5700,5799,Home & Electronics,"Furniture, appliances, electronics stores"
5800,5899,Restaurants & Digital Goods,"Restaurants, bars, fast food, digital content"
5900,5999,Retail Specialty,"Drugstores, liquor stores, hobby shops, bookstores"
6000,6199,Financial,"Banks, ATM withdrawals, quasi-cash transactions"
6200,6299,Investments / Securities,"Brokers, trading services"
6300,6399,Insurance,Insurance underwriting and premiums
6400,6499,Financial Services,Reserved or financial processing services
6500,6599,Real Estate & Payments,"Real estate managers, payment services"
6600,6999,Financial & Government,"Bonds, government financial services"
7000,7299,Personal Services,"Hotels, laundry, beauty services, personal care"
7300,7399,Business Services,"Advertising, consulting, IT services"
7400,7799,Repair Services,"Automotive repair, equipment maintenance"
7800,7999,Entertainment & Recreation,"Gambling, cinemas, amusement parks, sports"
8000,8099,Healthcare,"Doctors, dentists, hospitals"
8100,8199,Legal Services,Attorneys and legal services
8200,8299,Education,"Schools, universities, vocational training"
8300,8399,Social Services,"Childcare, charities"
8400,8499,Associations,"Civic, political, and professional associations"
8500,8599,Organizations,Reserved organizational services
8600,8699,Membership Organizations,"Religious, civic, social clubs"
8700,8799,Professional Services,"Engineering, accounting, consulting"
8800,8999,Miscellaneous Professional Services,"Laboratories, testing, specialized services"
9000,9299,Government Services,"Court costs, fines, public services"
9300,9399,Government Payments,"Taxes, fees"
9400,9499,Government Administrative Services,"Postal services, government operations"
9500,9699,Reserved / National Use,Special country implementations
9700,9999,Network & System Codes,"Visa/Mastercard internal codes, client-defined MCC"
